GN;Promax;Código SAP;Rede Código;CNPJ;Inplant;Rede;CDD;EG DV;Nome;UNB;PDV;Segunda;Terça;Quarta;Quinta;Sexta;Sábado;LAT;LONG
Daniel;44236;10027481;1,59E+03;9,47765E+12;Maísa Monteiro Alves;Comper Varejo;GAM;824089;Comper Loja 152 Gama;39;44236;0;1;0;0;0;0;-16,02454;-48,064
Daniel;44237;10027482;1,59E+03;9,47765E+12;Maísa Monteiro Alves;Comper Varejo;GAM;824070;Comper 306 Sul;39;44237;0;1;0;0;0;0;-15,81084;-47,90253
Anna Clara;44250;10030473;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;858188;Bellavia Sobradinho;39;44250;1;0;0;0;0;0;-15,64478;-47,80161
Anna Clara;44294;10038033;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935700;Superbom Loja 04 Qnj 11;39;44294;1;0;0;0;0;0;-15,812187;-48,083867
Anna Clara;44296;10014809;1,95E+03;1,65269E+12;Maísa Monteiro Alves;Caique;GAM;610160;Caique Ceilandia;39;44296;0;1;0;0;0;0;-15,7872267;-48,127855
Anna Clara;44302;10037582;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935719;Superbom Loja 05 S Sebastiao;39;44302;0;1;0;0;0;0;-15,9023572;-47,7683357
Anna Clara;44303;10037583;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;931381;Superbom Loja 10 Qs 106;39;44303;0;0;0;1;0;0;-15,8743799;-48,0780365
Anna Clara;44305;10037584;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935778;Superbom Loja 07 Aguas Clara;39;44305;1;0;0;0;0;0;-15,8318;-48,01746
Anna Clara;44307;10037585;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935751;Superbom Loja 12 Cl 212;39;44307;0;1;0;0;0;0;-16,0097858;-48,0058178
Anna Clara;44309;10037586;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935760;Superbom Loja 13 Guara;39;44309;0;1;0;0;0;0;-15,8124755;-47,9894042
Anna Clara;44310;10038034;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935786;Superbom Loja 14 Qs 409;39;44310;0;0;0;1;0;0;-15,8778007;-48,1030154
Anna Clara;44311;10037587;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;931586;Superbom Loja 08  Riacho I;39;44311;0;1;0;0;0;0;-15,8804858;-48,0115272
Anna Clara;44312;10037588;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;931390;Superbom Loja 06  Riacho F Ii;39;44312;0;1;0;0;0;0;-15,9127567;-48,0486133
Anna Clara;44313;10037594;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935727;Superbom Loja 09  Vicente Pires;39;44313;0;1;0;0;0;0;-15,8168645;-48,0167374
Anna Clara;44315;10037603;1,98E+03;1,83392E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931519;Vivendas Gama Qd 10;39;44315;0;0;0;0;1;0;-16,0283533;-48,0818266
Anna Clara;44316;10037625;1,98E+03;1,65789E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931438;Vivendas Santa Maria 209;39;44316;0;0;0;0;1;0;-16,0207117;-48,0229083
Anna Clara;44320;10037607;1,98E+03;2,69596E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931543;Vivendas Gama Qd 7;39;44320;0;0;0;1;0;0;-16,0091989;-48,0541277
Anna Clara;44324;10037695;1,98E+03;2,81621E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931489;Vivendas Recanto 402;39;44324;0;0;0;1;0;0;-15,9113677;-48,0523433
Anna Clara;44325;10038035;1,98E+03;2,86559E+13;Maísa Monteiro Alves;Vivendas;GAM;935735;Vivendas Santa Maria 105;39;44325;0;0;0;0;1;0;-16,0299807;-48,0340141
Anna Clara;44328;10037617;1,98E+03;3,33436E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931551;Vivendas Taquatinga;39;44328;0;0;0;0;1;0;-15,815123;-48,0635863
Anna Clara;44329;10037619;1,98E+03;3,429E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931500;Vivendas Santa Maria 202;39;44329;0;0;0;1;0;0;-16,0383193;-48,033681
Anna Clara;44330;10037696;1,98E+03;2,17015E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931527;Vivendas Gama Qd 28;39;44330;0;0;0;1;0;0;-16,0188505;-48,0743042
Anna Clara;44331;10037621;1,98E+03;2,48311E+13;Maísa Monteiro Alves;VIVENDAS;GAM;931535;Vivendas Santa Maria 416;39;44331;0;0;0;0;1;0;-16,0125219;-47,9944026
Anna Clara;44334;10037615;1,98E+03;2,79018E+13;Maísa Monteiro Alves;Primor;GAM;931608;Primor Samambaia 212;39;44334;0;0;1;0;0;0;-15,86132;-48,07299
Anna Clara;44335;10037616;1,98E+03;2,7427E+13;Maísa Monteiro Alves;Primor;GAM;931616;Primor Samambaia 307;39;44335;0;0;1;0;0;0;-15,8881669;-48,0964051
Anna Clara;44336;10037618;1,98E+03;2,79018E+13;Maísa Monteiro Alves;Primor;GAM;931624;Primor Recanto;39;44336;0;0;1;0;0;0;-15,9160426;-48,0508796
Anna Clara;44337;10037620;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;931322;Superbom Loja 01 Qs 314;39;44337;1;0;0;0;0;0;-15,8768671;-48,0670401
Anna Clara;44338;10037073;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;926043;Superbom Loja 02 Qnl 13/15;39;44338;1;0;0;0;0;0;-15,8239894;-48,0862071
Anna Clara;44339;10038037;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;935743;Superbom Loja 03 Qs 604;39;44339;0;0;0;1;0;0;-15,8620074;-48,0889086
Anna Clara;44340;10038280;3,42E+02;2,44474E+13;Yasmin Rodrigues Araújo da Silva;Tatico;GAM;938270;Tatico Aguas Lindas 2;39;44340;0;0;0;1;0;0;-15,7355467;-48,285809
Anna Clara;44342;10038374;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;939242;Superbom Loja 14 Vp;39;44342;0;1;0;0;0;0;-15,7908123;-48,0119495
Anna Clara;44344;10025980;1,95E+03;5,26002E+12;Maísa Monteiro Alves;Caique;GAM;799122;Super Top Sobradinho;39;44344;1;0;0;0;0;0;-15,6447883;-47,79627
Anna Clara;44347;10038478;1,98E+03;3,70826E+13;Maísa Monteiro Alves;Vivendas;GAM;940291;Vivendas Recanto 304;39;44347;0;0;0;1;0;0;-15,91205744;-48,09379174
Anna Clara;44353;10039120;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;949329;Tatico Ceilandia Sul;39;44353;0;0;1;0;0;0;-15,8293826;-48,1173174
Anna Clara;44354;10039145;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;949612;Bellavia Noroeste;39;44354;1;0;0;0;0;0;-15,742565;-47,9158104
Anna Clara;44364;10039540;1,98E+03;2,79018E+13;Maísa Monteiro Alves;Primor;GAM;953601;Primor Samambaia 120;39;44364;0;0;1;0;0;0;-15,8695888;-48,0620855
Anna Clara;44403;10041361;3,42E+02;2,44474E+13;Maísa Monteiro Alves;Tatico;GAM;976679;Tatico Vicente Pires;39;44403;0;0;1;0;0;0;-15,7963656;-48,0489383
Anna Clara;44404;10041362;3,42E+02;2,44474E+13;Yasmin Rodrigues Araújo da Silva;Tatico;GAM;976687;Supermercado Tatico Luziania;39;44404;0;0;0;1;0;0;-16,1628368;-47,932103
Anna Clara;44405;10041469;4,64E+02;4,68049E+13;Maísa Monteiro Alves;Super Cei;GAM;977829;Super Cei Taquari;39;44405;1;0;0;0;0;0;-15,6958557;-47,8719775
Daniel;44407;10041539;1,59E+03;9,47765E+12;Maísa Monteiro Alves;Fort Atacado;GAM;978531;Fort Recanto;39;44407;0;0;0;1;0;0;-15,9296441;-48,0474691
Anna Clara;44409;10041611;1,98E+03;4,55561E+13;Maísa Monteiro Alves;Vivendas;GAM;979244;Vivendas Ceilandia - Eqnp;39;44409;0;0;0;0;1;0;-15,8133868;-48,1301098
Anna Clara;44415;10041858;1,98E+03;8,61699E+12;Maísa Monteiro Alves;Superbom;GAM;981770;Superbom 15 Samambaia;39;44415;1;0;0;0;0;0;-15,887027;-48,0945768
Anna Clara;44423;10042340;4,64E+02;2,1334E+13;Maísa Monteiro Alves;Super Cei;GAM;986720;B09  Bellavia Vicente Pires;39;44423;1;0;0;0;0;0;-15,8022488;-48,0166229
