CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
7431;SUKITA MIX BAG IN BOX 18L;Litro;1;324;0;72;252
7947;GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6;Caixa;2;944;0;78;866
7947;GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6;Caixa;1;339;0;7;332
7977;GATORADE UVA PET 500ML SIXPACK;Caixa;1;193;0;151;42
7977;GATORADE UVA PET 500ML SIXPACK;Caixa;2;1280;0;527;753
7979;GATORADE FRUTAS CITRICAS PET 500ML SIXPACK;Caixa;2;30;0;24;6
7979;GATORADE FRUTAS CITRICAS PET 500ML SIXPACK;Caixa;1;20;0;5;15
7981;GATORADE LARANJA PET 500ML SIXPACK;Caixa;2;7977;0;546;7431
7981;GATORADE LARANJA PET 500ML SIXPACK;Caixa;1;1238;0;74;1164
7982;GATORADE LIMAO PET 500ML SIXPACK;Caixa;2;6268;0;1099;5169
7982;GATORADE LIMAO PET 500ML SIXPACK;Caixa;1;764;0;158;606
7985;GATORADE MARACUJA PET 500ML SIXPACK;Caixa;2;1364;0;329;1035
8411;GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6;Caixa;2;3014;0;751;2263
8411;GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6;Caixa;1;473;0;24;449
8418;PEPSI COLA PET 1500 CX06;Caixa;1;0;0;0;0
8791;H2OH LIMAO C/GAS PET 500ML CAIXA C/12;Caixa;1;1;0;1;0
8793;H2OH LIMAO C/GAS PET 1,5L CAIXA C/6;Caixa;1;54;0;31;23
8793;H2OH LIMAO C/GAS PET 1,5L CAIXA C/6;Caixa;2;320;0;115;205
8919;GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL;Caixa;2;74;0;11;63
8919;GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL;Caixa;1;11;0;10;1
8921;GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL;Caixa;1;43;0;43;0
8921;GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL;Caixa;2;404;0;338;66
9067;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL;Caixa;2;14477;0;286;14191
9067;ANTARCTICA PILSEN LATA 350ML SH C/12 NPAL;Caixa;1;1555;0;18;1537
9068;SKOL LATA 350ML SH C/12 NPAL;Caixa;1;150;0;15;135
9068;SKOL LATA 350ML SH C/12 NPAL;Caixa;2;2228;0;44;2184
9069;BRAHMA CHOPP LATA 350ML SH C/12 NPAL;Caixa;1;814;0;16;798
9069;BRAHMA CHOPP LATA 350ML SH C/12 NPAL;Caixa;2;4460;0;110;4350
9081;MALZBIER BRAHMA LATA 350ML SH C/12 NPAL;Caixa;1;3;0;3;0
9081;MALZBIER BRAHMA LATA 350ML SH C/12 NPAL;Caixa;2;20;0;0;20
9084;GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;1;235;0;51;184
9084;GUARANA CHP ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;2;730;0;730;0
9085;GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL;Caixa;2;11855;0;139;11716
9085;GUARANA CHP ANTARCTICA DIET LATA 350ML SH C/12 NPAL;Caixa;1;846;0;40;806
9087;SODA LIMONADA ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;1;1;0;0;1
9089;SUKITA LATA 350ML SH C/12 NPAL;Caixa;1;9;0;1;8
9089;SUKITA LATA 350ML SH C/12 NPAL;Caixa;2;0;0;0;0
9091;TONICA ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;1;10;0;0;10
9091;TONICA ANTARCTICA LATA 350ML SH C/12 NPAL;Caixa;2;0;0;0;0
9092;TONICA ANTARCTICA DIET LATA 350ML SH C/12 NPAL;Caixa;1;411;0;3;408
